위성명,NORAD_ID,통과시간(UTC),최대앙각(°),궤도고도(km)
TBA - TO BE ASSIGNED,85283,2022-08-04 14:18:00,66.2,718.0
STARLINK-4322,53078,2022-08-04 21:32:00,66.1,417.3
TBA - TO BE ASSIGNED,87164,2022-08-04 11:31:00,66.1,865.0
STARLINK-4126,52867,2022-08-04 07:41:00,66.0,352.0
TBA - TO BE ASSIGNED,81323,2022-08-04 02:00:00,66.0,1196.9
TBA - TO BE ASSIGNED,270162,2022-08-04 17:07:00,66.0,919.7
H-2A DEB,53122,2022-08-04 17:59:00,65.9,544.8
H-2A DEB,53327,2022-08-04 17:54:00,65.9,588.5
STARLINK-4347,53076,2022-08-04 21:32:00,65.7,417.6
STARLINK-4196,52859,2022-08-04 07:42:00,65.6,352.1
